TRACKER_ID,ORDER_ID,LOCATION,TRACKER_STATUS,LAST_UPDATE,PORT_ID
TK2515,OR5957,Port Louis,Delivered,05/04/2025 14:52,P043
TK5782,OR7636,Quebec,Pending,09/04/2025 11:16,P015
TK1731,OR7682,Santos,Pending,22/03/2025 14:24,P038
TK4241,OR6830,Callao,Pending,01/04/2025 16:24,P033
TK2143,OR7640,Honolulu,Delivered,31/03/2025 14:08,P012
TK1258,OR6784,Cape Town,Delivered,21/04/2025 16:54,P052
TK4000,OR6983,Callao,In Transit,27/04/2025 14:49,P033
TK1398,OR7403,Cape Town,Delivered,08/04/2025 09:30,P052
TK7905,OR6789,Singapore (Singapore Strait),In Transit,28/04/2025 14:46,P002
TK7331,OR6095,Southern Port of Sudan,In Transit,28/04/2025 06:21,P003
TK3800,OR5747,Southampton,Delivered,16/04/2025 17:48,P008
TK5996,OR6259,Port Fremantle,Delivered,31/03/2025 16:22,P030
TK8106,OR5715,Mumbai Port,Pending,31/03/2025 14:58,P020
TK3840,OR7784,Rio de Janeiro,Pending,15/04/2025 13:37,P037
TK1887,OR5999,Montreal Port,Delivered,12/04/2025 20:08,P014
TK3071,OR7961,Port Said (Suez Canal entrance),Pending,31/03/2025 13:49,P005
TK6626,OR5705,New York,Delivered,21/04/2025 16:49,P009
TK9522,OR7354,Algeciras,In Transit,27/04/2025 11:11,P006
TK9838,OR7941,Quebec,Pending,11/04/2025 07:19,P015
TK7105,OR7172,Jakarta,In Transit,23/04/2025 07:43,P041
TK9719,OR5777,Port Louis,Delivered,17/04/2025 10:43,P043
TK5449,OR7447,Callao,Pending,09/04/2025 09:50,P033
TK4988,OR6980,Dover Strait,Pending,04/04/2025 13:00,P017
TK3268,OR7018,Dover Strait,In Transit,28/04/2025 21:13,P017
TK3451,OR6835,Mumbai Port,Pending,03/04/2025 14:14,P020
TK4396,OR7455,Durban,In Transit,28/04/2025 07:11,P053
TK4067,OR6318,Manila,Pending,03/04/2025 10:50,P047
TK3627,OR5809,Mumbai Port,In Transit,22/04/2025 21:29,P020
TK3899,OR6536,Long Beach,Delivered,19/04/2025 20:36,P051
TK6258,OR7524,Gladstone,Pending,27/03/2025 07:21,P032
TK2492,OR6173,Scheveningen,In Transit,21/04/2025 10:12,P018
TK4445,OR6318,Manila,Pending,11/04/2025 07:31,P047
TK5334,OR6929,Jakarta,In Transit,26/04/2025 14:06,P041
TK7855,OR7273,Cape Town,Pending,13/04/2025 09:35,P052
TK7090,OR6737,Hamburg,Pending,13/04/2025 09:15,P019
TK9058,OR6933,Colombo,Pending,22/03/2025 10:30,P028
TK4545,OR6719,Manila,Pending,28/03/2025 08:19,P047
TK9579,OR6718,Colon (Panama Canal entrance),Delivered,01/04/2025 14:48,P010
TK7158,OR5845,Manzanillo,In Transit,21/04/2025 23:54,P044
TK2210,OR7707,Singapore (Singapore Strait),In Transit,24/04/2025 13:48,P002
TK6936,OR6804,Southampton,In Transit,21/04/2025 09:16,P008
TK5178,OR7286,Buenos Aires,In Transit,23/04/2025 06:50,P034
TK4342,OR7883,Shanghai Port,In Transit,27/04/2025 09:23,P001
TK1677,OR7582,Port of Veracruz,Delivered,18/04/2025 10:36,P035
TK9784,OR6549,Southern Port of Sudan,Pending,25/03/2025 11:54,P003
TK6111,OR6411,Jakarta,Delivered,31/03/2025 08:51,P041
TK5819,OR6096,Rodman (Pacific side),In Transit,20/04/2025 23:29,P011
TK3569,OR5924,Singapore (Singapore Strait),Pending,08/04/2025 14:23,P002
TK4633,OR7736,Hong Kong,In Transit,24/04/2025 20:59,P040
TK1852,OR6604,Port Louis,Delivered,21/04/2025 19:43,P043
TK8938,OR6269,Walvis Bay,Delivered,31/03/2025 10:03,P045
TK7360,OR6734,Montreal Port,Delivered,23/04/2025 12:43,P014
TK1274,OR6853,New York,In Transit,25/04/2025 12:04,P009
TK7977,OR6044,Port of Veracruz,In Transit,27/04/2025 17:26,P035
TK2802,OR7014,Scheveningen,Delivered,16/04/2025 18:31,P018
TK1287,OR7047,Mumbai Port,Pending,20/03/2025 15:07,P020
TK6711,OR7824,Walvis Bay,Delivered,02/04/2025 16:29,P045
TK6628,OR7167,Port Everglades,Pending,09/04/2025 17:31,P036
TK3329,OR7274,Xiamen,Delivered,15/04/2025 20:52,P039
TK5364,OR7596,Long Beach,Delivered,09/04/2025 20:48,P051
TK5472,OR7637,Lisboa,Delivered,13/04/2025 14:15,P027
TK3149,OR6069,Port Louis,In Transit,21/04/2025 11:46,P043
TK4636,OR7231,Port Fremantle,In Transit,22/04/2025 13:18,P030
TK5698,OR7628,Quebec,Pending,26/03/2025 13:53,P015
TK1787,OR7431,Rodman (Pacific side),In Transit,21/04/2025 14:28,P011
TK5556,OR7673,Los Angeles,Pending,10/04/2025 15:42,P050
TK8704,OR6232,Cape Town,Delivered,20/04/2025 18:20,P052
TK3151,OR5998,Colombo,In Transit,22/04/2025 12:28,P028
TK4106,OR6715,Southern Port of Sudan,In Transit,23/04/2025 22:45,P003
TK5750,OR5980,Los Angeles,Pending,20/03/2025 16:22,P050
TK5278,OR6000,Manzanillo,Pending,14/04/2025 10:00,P044
TK3088,OR7101,Copenhagen,Delivered,14/04/2025 11:58,P025
TK1022,OR6449,Manila,Pending,04/04/2025 13:51,P047
TK5615,OR6914,Port Hedland,In Transit,26/04/2025 11:13,P031
TK8108,OR7004,Rio de Janeiro,Pending,22/03/2025 12:14,P037
TK3257,OR5754,Hamburg,Pending,21/03/2025 07:10,P019
TK9609,OR6091,Gladstone,In Transit,20/04/2025 09:19,P032
TK6754,OR7246,"Port of Thames, London",Pending,25/03/2025 11:37,P023
TK1098,OR6626,Quebec,In Transit,27/04/2025 06:10,P015
TK2960,OR6088,"Port of Thames, London",In Transit,20/04/2025 13:36,P023
TK2362,OR6648,Montreal Port,Pending,15/04/2025 10:30,P014
TK4566,OR7552,Port Said (Suez Canal entrance),In Transit,23/04/2025 11:03,P005
TK8305,OR6247,Rio de Janeiro,Pending,11/04/2025 14:21,P037
TK1379,OR6826,Port of Veracruz,In Transit,23/04/2025 17:16,P035
TK8140,OR5830,Rotterdam,Pending,25/03/2025 15:16,P007
TK8719,OR6946,Hirtshals,Pending,29/03/2025 10:36,P026
TK1616,OR7016,Quebec,Delivered,23/04/2025 18:33,P015
TK1810,OR5958,Port Hedland,Pending,12/04/2025 10:12,P031
TK7903,OR7021,Port Fremantle,Pending,31/03/2025 08:58,P030
TK3732,OR7836,Long Beach,Delivered,16/04/2025 11:02,P051
TK1346,OR6288,Southern Port of Sudan,In Transit,24/04/2025 17:40,P003
TK9823,OR7089,Quebec,Delivered,22/04/2025 20:49,P015
TK7136,OR7753,Port Louis,Pending,28/03/2025 15:42,P043
TK3222,OR6822,Kaohsiung,Pending,11/04/2025 11:12,P048
TK9582,OR7833,Port Hedland,Pending,16/03/2025 14:08,P031
TK9884,OR5747,Rotterdam,Pending,09/04/2025 08:18,P007
TK2779,OR6251,Port Fremantle,Pending,22/03/2025 07:23,P030
TK3769,OR6479,New York,Pending,18/03/2025 10:56,P009
TK1441,OR6405,Long Beach,Delivered,15/04/2025 16:59,P051
TK9984,OR6417,Port Fremantle,Pending,28/03/2025 08:49,P030
TK5451,OR7111,Mumbai Port,Pending,10/04/2025 07:36,P020
TK4258,OR6198,Hamburg,In Transit,29/04/2025 11:19,P019
TK9807,OR7612,Durban,Delivered,07/04/2025 11:44,P053
TK4729,OR7998,Scheveningen,Pending,24/03/2025 16:22,P018
TK4281,OR7340,Southampton,Delivered,21/04/2025 09:13,P008
TK4802,OR7753,Gladstone,Delivered,23/04/2025 17:28,P032
TK7612,OR7963,Gibraltar Strait,Delivered,15/04/2025 10:22,P022
TK3914,OR7468,Southampton,Pending,26/03/2025 13:14,P008
TK9613,OR5705,New York,Delivered,23/04/2025 14:49,P009
TK6770,OR6138,Rotterdam,In Transit,27/04/2025 23:14,P007
TK3389,OR7033,Hamburg,In Transit,21/04/2025 13:56,P019
TK8982,OR7582,Callao,Pending,17/03/2025 12:13,P033
TK1160,OR6123,Manila,Pending,08/04/2025 13:39,P047
TK8773,OR7747,Panama Canal,Delivered,23/04/2025 11:16,P046
TK6271,OR6351,Durban,Pending,30/03/2025 07:19,P053
TK2170,OR7581,Port of Veracruz,Delivered,05/04/2025 20:03,P035
TK3404,OR7098,Durban,In Transit,27/04/2025 20:03,P053
TK3227,OR7274,Xiamen,In Transit,21/04/2025 07:14,P039
TK2970,OR7874,Manila,Pending,13/04/2025 15:16,P047
TK9125,OR6964,Hong Kong,In Transit,27/04/2025 13:58,P040
TK1765,OR6283,Manzanillo,Delivered,01/04/2025 20:18,P044
TK4668,OR6364,Cape Town,Pending,05/04/2025 17:58,P052
TK9557,OR7147,Kaohsiung,In Transit,23/04/2025 06:29,P048
TK8155,OR7993,Port Klang,In Transit,26/04/2025 15:07,P021
TK4703,OR7807,Houston,Pending,29/03/2025 15:11,P049
TK9017,OR6250,Xiamen,In Transit,26/04/2025 17:41,P039
TK2684,OR6728,St. Petersburg,Delivered,02/04/2025 11:48,P024
TK6862,OR7620,Gladstone,In Transit,28/04/2025 13:30,P032
TK7688,OR6726,Durban,Pending,12/04/2025 07:10,P053
TK7315,OR6573,Colombo,Pending,24/03/2025 08:03,P028
TK2930,OR7396,St. Petersburg,Delivered,16/04/2025 16:02,P024
TK1290,OR6331,Hamburg,In Transit,21/04/2025 23:48,P019
TK2691,OR7440,Port Everglades,In Transit,28/04/2025 10:57,P036
TK3492,OR7350,Lisboa,In Transit,23/04/2025 06:18,P027
TK8666,OR7130,"Port of Thames, London",In Transit,23/04/2025 18:51,P023
TK6760,OR7018,Los Angeles,Pending,18/03/2025 17:50,P050
TK5956,OR7830,Scheveningen,Delivered,08/04/2025 15:31,P018
TK9859,OR6929,New York,Pending,05/04/2025 07:54,P009
TK4105,OR6922,Colon (Panama Canal entrance),Delivered,15/04/2025 09:07,P010
TK5798,OR6131,Walvis Bay,Pending,24/03/2025 14:30,P045
TK6923,OR7685,Walvis Bay,In Transit,22/04/2025 08:45,P045
TK3723,OR7433,Port Botany,In Transit,26/04/2025 16:14,P029
TK7362,OR6555,Port Everglades,In Transit,21/04/2025 18:08,P036
TK6337,OR6590,Gladstone,In Transit,22/04/2025 19:51,P032
TK1567,OR6203,Port of Veracruz,Delivered,02/04/2025 13:41,P035
TK1872,OR6369,Port Louis,Pending,04/04/2025 13:42,P043
TK4728,OR6067,Port of Veracruz,Delivered,09/04/2025 17:22,P035
TK4868,OR7885,Southampton,Pending,11/04/2025 17:30,P008
TK5024,OR5804,Southern Port of Sudan,Pending,17/03/2025 11:33,P003
TK9552,OR5979,Houston,Delivered,07/04/2025 20:40,P049
TK5241,OR7177,St. Petersburg,Delivered,12/04/2025 09:53,P024
TK3125,OR6449,Xiamen,Delivered,12/04/2025 18:27,P039
TK4007,OR5928,Algeciras,Pending,19/03/2025 08:42,P006
TK8160,OR6163,Kaohsiung,In Transit,25/04/2025 19:17,P048
TK2918,OR6260,Jakarta,In Transit,25/04/2025 18:00,P041
TK9918,OR7700,Cape Town,Pending,20/03/2025 14:44,P052
TK2911,OR6265,"Port of Thames, London",In Transit,27/04/2025 20:42,P023
TK2516,OR5735,Buenos Aires,In Transit,23/04/2025 11:29,P034
TK8089,OR7530,Colon (Panama Canal entrance),In Transit,21/04/2025 07:26,P010
TK1891,OR6101,Port Hedland,Pending,07/04/2025 10:08,P031
TK7192,OR7318,Lisboa,In Transit,25/04/2025 12:09,P027
TK4612,OR7193,Port Said (Suez Canal entrance),In Transit,22/04/2025 16:44,P005
TK9855,OR6062,Manila,Pending,24/03/2025 15:10,P047
TK8200,OR6286,Durban,In Transit,28/04/2025 10:30,P053
TK2010,OR7432,Honolulu,In Transit,24/04/2025 16:48,P012
TK9837,OR7816,Jakarta,Pending,26/03/2025 10:33,P041
TK1965,OR6400,Colon (Panama Canal entrance),In Transit,21/04/2025 19:39,P010
TK1087,OR5970,Los Angeles,Pending,13/04/2025 14:44,P050
TK7001,OR5888,Hamburg,Pending,22/03/2025 15:37,P019
TK1474,OR5922,Port Louis,In Transit,20/04/2025 13:09,P043
TK3414,OR7150,Durban,Delivered,10/04/2025 17:50,P053
TK1934,OR6875,Port Klang,Pending,19/03/2025 13:46,P021
TK9052,OR7151,Port Fremantle,Delivered,07/04/2025 19:10,P030
TK1077,OR6606,Callao,In Transit,24/04/2025 16:01,P033
TK7375,OR7922,Honolulu,Delivered,20/04/2025 08:30,P012
TK6966,OR7004,Port Botany,Delivered,01/04/2025 08:44,P029
TK9783,OR7954,Port Said (Suez Canal entrance),In Transit,27/04/2025 14:55,P005
TK1969,OR6814,Hong Kong,Delivered,13/04/2025 15:59,P040
TK4228,OR7896,Kaohsiung,In Transit,21/04/2025 22:37,P048
TK7002,OR6638,"Port of Thames, London",Pending,26/03/2025 08:23,P023
TK5237,OR6389,Copenhagen,Pending,10/04/2025 10:18,P025
TK7921,OR7397,Xiamen,In Transit,24/04/2025 20:43,P039
TK5789,OR7285,Honolulu,In Transit,25/04/2025 06:27,P012
TK1694,OR7896,Kaohsiung,In Transit,27/04/2025 11:12,P048
TK9378,OR6783,Los Angeles,In Transit,22/04/2025 17:54,P050
TK9006,OR5843,Southampton,Delivered,31/03/2025 10:11,P008
TK3140,OR7921,Blanc Sablon,Pending,22/03/2025 09:35,P016
TK7562,OR7780,Port Everglades,In Transit,26/04/2025 18:18,P036
TK6162,OR6289,Manzanillo,In Transit,29/04/2025 15:12,P044
TK6411,OR7699,Houston,Pending,16/03/2025 14:51,P049
TK5859,OR6628,Port Fremantle,In Transit,27/04/2025 22:45,P030
TK3441,OR6222,Port Fremantle,Pending,06/04/2025 10:09,P030
TK9335,OR7430,Buenos Aires,Delivered,19/04/2025 11:53,P034
TK7312,OR5855,Lisboa,Pending,18/03/2025 07:29,P027
TK8067,OR7028,Port Said (Suez Canal entrance),Pending,27/03/2025 14:01,P005
TK2409,OR7079,Manila,Pending,09/04/2025 07:18,P047
TK9827,OR7138,Port Everglades,Delivered,08/04/2025 15:20,P036
TK5379,OR7291,Walvis Bay,In Transit,27/04/2025 18:17,P045
TK2991,OR5812,Port Hedland,Pending,22/03/2025 11:51,P031
TK5872,OR6238,Blanc Sablon,Delivered,04/04/2025 19:06,P016
TK3289,OR7350,Lisboa,Delivered,05/04/2025 17:49,P027
TK9286,OR6426,Port Louis,In Transit,24/04/2025 14:38,P043
TK5630,OR6945,Montreal Port,In Transit,25/04/2025 16:49,P014
TK3536,OR6210,Port Klang,Pending,18/03/2025 16:48,P021
TK5335,OR7402,Singapore (Singapore Strait),Delivered,16/04/2025 11:47,P002
TK3190,OR7201,Cape Town,Pending,19/03/2025 16:09,P052
TK7096,OR7577,Rotterdam,In Transit,20/04/2025 13:38,P007
TK1896,OR5924,Singapore (Singapore Strait),Pending,19/03/2025 11:58,P002
TK8099,OR6649,Shanghai Port,Delivered,18/04/2025 17:50,P001
TK4513,OR6697,"Port of Thames, London",Pending,04/04/2025 08:32,P023
TK3174,OR7685,Colon (Panama Canal entrance),Pending,20/03/2025 16:06,P010
TK3739,OR6090,Blanc Sablon,Pending,14/04/2025 11:10,P016
TK2201,OR7371,Scheveningen,Pending,01/04/2025 16:35,P018
TK2324,OR5764,Port Said (Suez Canal entrance),Delivered,08/04/2025 10:19,P005
TK9851,OR6338,Port of Veracruz,Pending,12/04/2025 16:00,P035
TK6189,OR7083,Callao,Pending,05/04/2025 17:11,P033
TK2971,OR6522,Port Said (Suez Canal entrance),Pending,26/03/2025 07:27,P005
TK3215,OR7030,Rio de Janeiro,Delivered,02/04/2025 10:52,P037
TK6171,OR7830,Colombo,Pending,11/04/2025 14:49,P028
TK4624,OR7224,Port Botany,In Transit,29/04/2025 21:48,P029
TK8378,OR7099,Jakarta,Delivered,17/04/2025 09:34,P041
TK5970,OR6364,Long Beach,In Transit,25/04/2025 19:24,P051
TK4712,OR6246,Dover Strait,Delivered,22/04/2025 13:59,P017
TK2648,OR6214,Gibraltar Strait,Pending,10/04/2025 13:36,P022
TK9445,OR5699,Southampton,Delivered,16/04/2025 13:46,P008
TK1854,OR7676,Port Said (Suez Canal entrance),In Transit,26/04/2025 12:05,P005
TK6514,OR5873,Walvis Bay,Delivered,21/04/2025 16:20,P045
TK6853,OR6431,Hamburg,Pending,05/04/2025 10:21,P019
TK4368,OR6322,Kaohsiung,Delivered,10/04/2025 09:05,P048
TK2832,OR6709,Southampton,Pending,06/04/2025 12:20,P008
TK8210,OR6052,Port Fremantle,Pending,19/03/2025 14:33,P030
TK9158,OR5903,Buenos Aires,Pending,02/04/2025 08:06,P034
TK2266,OR5984,Singapore (Singapore Strait),In Transit,25/04/2025 16:29,P002
TK4641,OR7464,Long Beach,In Transit,26/04/2025 06:19,P051
TK3609,OR7726,Manzanillo,In Transit,23/04/2025 19:20,P044
TK8993,OR7498,Port Said (Suez Canal entrance),Delivered,09/04/2025 12:33,P005
TK3993,OR6576,Port of Veracruz,In Transit,23/04/2025 18:18,P035
TK6507,OR7560,Port Hedland,Pending,11/04/2025 17:40,P031
TK1119,OR6207,Hong Kong,Pending,31/03/2025 17:44,P040
TK3880,OR5967,Kaohsiung,Delivered,10/04/2025 14:12,P048
TK8976,OR6790,Port Louis,In Transit,21/04/2025 16:09,P043
TK1849,OR7868,Port Fremantle,Pending,04/04/2025 09:01,P030
TK2057,OR6408,Southampton,Delivered,21/04/2025 19:51,P008
TK1376,OR6402,Blanc Sablon,Delivered,01/04/2025 14:41,P016
TK1649,OR7089,Quebec,In Transit,26/04/2025 14:39,P015
TK3983,OR7228,Buenos Aires,In Transit,28/04/2025 10:56,P034
TK6898,OR7177,St. Petersburg,In Transit,24/04/2025 14:26,P024
TK7232,OR6891,Callao,Pending,24/03/2025 09:08,P033
TK4326,OR7486,Port Said (Suez Canal entrance),Delivered,21/04/2025 10:31,P005
TK4380,OR7194,Houston,Delivered,23/04/2025 16:48,P049
TK9486,OR6709,Southampton,Pending,27/03/2025 15:55,P008
TK8588,OR6776,Algeciras,Delivered,13/04/2025 11:48,P006
TK7576,OR6876,Singapore (Singapore Strait),In Transit,21/04/2025 16:33,P002
TK9165,OR6896,Gladstone,Delivered,15/04/2025 17:40,P032
TK1452,OR7736,Hong Kong,In Transit,29/04/2025 17:22,P040
TK5389,OR7742,Walvis Bay,In Transit,21/04/2025 19:19,P045
TK1518,OR5879,Mumbai Port,Pending,16/03/2025 07:37,P020
TK3560,OR6420,Hamburg,Pending,18/03/2025 17:06,P019
TK3201,OR5995,Yokohama,In Transit,23/04/2025 21:57,P013
TK8408,OR7529,Gibraltar Strait,Pending,23/03/2025 13:21,P022
TK8810,OR6115,Manzanillo,Delivered,20/04/2025 09:08,P044
TK8835,OR7864,Colon (Panama Canal entrance),Delivered,23/04/2025 10:21,P010
TK9950,OR6975,Manzanillo,Delivered,21/04/2025 16:31,P044
TK5170,OR6863,Rio de Janeiro,Delivered,21/04/2025 10:01,P037
TK1990,OR6332,Santos,Delivered,12/04/2025 13:54,P038
TK1517,OR6566,Walvis Bay,Delivered,15/04/2025 15:45,P045
TK8979,OR6169,Gladstone,Delivered,06/04/2025 17:13,P032
TK2525,OR7446,Honolulu,In Transit,20/04/2025 11:37,P012
TK9520,OR6794,Cape Town,Pending,26/03/2025 08:41,P052
TK2428,OR7648,Gladstone,Delivered,20/04/2025 17:37,P032
TK4008,OR6014,Los Angeles,Pending,27/03/2025 16:29,P050
TK9381,OR6286,Algeciras,Pending,05/04/2025 12:19,P006
TK1941,OR6211,Scheveningen,In Transit,22/04/2025 12:41,P018
TK1062,OR6137,Colombo,Delivered,14/04/2025 15:49,P028
TK4601,OR7254,Jakarta,Delivered,15/04/2025 20:36,P041
TK8262,OR7713,Port Botany,In Transit,23/04/2025 17:45,P029
TK9227,OR5740,Port Everglades,In Transit,22/04/2025 21:20,P036
TK7850,OR7982,New York,Pending,30/03/2025 08:34,P009
TK1905,OR5759,Port Botany,In Transit,23/04/2025 14:04,P029
TK8464,OR6522,Scheveningen,In Transit,21/04/2025 20:54,P018
TK4013,OR7300,Mumbai Port,Delivered,09/04/2025 13:00,P020
TK4819,OR7695,New York,Delivered,16/04/2025 15:14,P009
TK9829,OR7681,Port Said (Suez Canal entrance),Delivered,02/04/2025 17:24,P005
TK2484,OR6950,Port of Veracruz,In Transit,23/04/2025 23:59,P035
TK2174,OR7341,Port of Veracruz,In Transit,24/04/2025 08:03,P035
TK6629,OR5770,Quebec,Pending,20/03/2025 10:56,P015
TK7902,OR6166,Montreal Port,Delivered,08/04/2025 11:53,P014
TK1511,OR6127,Singapore (Singapore Strait),Delivered,04/04/2025 18:50,P002
TK9260,OR7356,Port Tewfik (Suez Entrance),Delivered,20/04/2025 18:15,P004
TK1266,OR6177,Callao,In Transit,25/04/2025 22:06,P033
TK1117,OR7164,Southern Port of Sudan,In Transit,20/04/2025 20:47,P003
TK1151,OR6003,Manzanillo,Pending,24/03/2025 11:27,P044
TK5947,OR6378,Southampton,In Transit,25/04/2025 20:51,P008
TK8009,OR7708,Port Fremantle,Delivered,08/04/2025 11:20,P030
TK5283,OR6234,Gladstone,Pending,18/03/2025 10:36,P032
TK7084,OR6642,Rotterdam,Pending,17/03/2025 15:12,P007
TK3628,OR7429,Singapore (Singapore Strait),Pending,20/03/2025 08:23,P002
TK4764,OR6345,Panama Canal,In Transit,28/04/2025 23:58,P046
TK4839,OR6865,Port Said (Suez Canal entrance),In Transit,26/04/2025 17:55,P005
TK8319,OR7135,Mumbai Port,Delivered,01/04/2025 15:32,P020
TK8344,OR6176,Honolulu,In Transit,22/04/2025 18:26,P012
TK1249,OR5746,Port Said (Suez Canal entrance),In Transit,21/04/2025 21:06,P005
TK2825,OR5948,Hamburg,Pending,07/04/2025 09:55,P019
TK1295,OR6881,Rio de Janeiro,In Transit,23/04/2025 18:22,P037
TK2344,OR6964,Xiamen,Pending,09/04/2025 07:46,P039
TK3614,OR7234,Rio de Janeiro,In Transit,27/04/2025 20:56,P037
TK8513,OR7758,Honolulu,In Transit,29/04/2025 11:03,P012
TK5168,OR7447,Callao,Pending,08/04/2025 15:24,P033
TK6334,OR6686,Lisboa,Pending,19/03/2025 10:28,P027
TK9413,OR5898,Southampton,In Transit,28/04/2025 23:19,P008
TK2427,OR6122,Quebec,In Transit,29/04/2025 07:00,P015
TK2042,OR6078,Los Angeles,Pending,11/04/2025 10:46,P050
TK3216,OR6359,Port Said (Suez Canal entrance),Pending,05/04/2025 13:09,P005
TK3919,OR6296,Algeciras,Pending,07/04/2025 07:25,P006
TK1975,OR7088,Port of Veracruz,In Transit,25/04/2025 18:02,P035
TK4505,OR5785,"Port of Thames, London",In Transit,27/04/2025 14:48,P023
TK9026,OR7765,Singapore (Singapore Strait),Pending,12/04/2025 14:04,P002
TK6026,OR5822,Walvis Bay,Pending,01/04/2025 09:48,P045
TK2188,OR5708,Port of Veracruz,In Transit,24/04/2025 10:56,P035
TK4404,OR6941,Colon (Panama Canal entrance),Pending,20/03/2025 10:46,P010
TK6143,OR6499,Rio de Janeiro,Pending,22/03/2025 14:25,P037
TK1461,OR6614,Port Hedland,Delivered,06/04/2025 14:57,P031
TK8379,OR6466,Lisboa,Pending,04/04/2025 13:07,P027
TK3434,OR6256,Buenos Aires,In Transit,28/04/2025 21:32,P034
TK9376,OR6897,Scheveningen,Pending,25/03/2025 08:03,P018
TK4795,OR6892,Kaohsiung,Pending,05/04/2025 15:08,P048
TK8102,OR7068,Los Angeles,Delivered,19/04/2025 20:29,P050
TK1933,OR7687,Port Hedland,In Transit,26/04/2025 13:48,P031
TK5195,OR6649,Shanghai Port,Delivered,14/04/2025 19:29,P001
TK1362,OR5785,Port Hedland,Pending,21/03/2025 14:47,P031
TK1974,OR7385,Hirtshals,Delivered,22/04/2025 12:35,P026
TK8350,OR7128,Copenhagen,In Transit,26/04/2025 19:05,P025
TK1236,OR7948,Rodman (Pacific side),In Transit,21/04/2025 20:09,P011
TK4577,OR6254,Montreal Port,Delivered,20/04/2025 16:13,P014
TK6921,OR7747,Jakarta,Delivered,22/04/2025 12:15,P041
TK5770,OR7820,Xiamen,Delivered,02/04/2025 09:47,P039
TK8282,OR7943,Quebec,In Transit,24/04/2025 09:12,P015
TK8018,OR5845,Manzanillo,Delivered,23/04/2025 15:57,P044
TK5113,OR6532,Manila,Pending,18/03/2025 12:26,P047
TK7371,OR6269,Mumbai Port,Pending,09/04/2025 15:13,P020
TK9826,OR7635,Port Said (Suez Canal entrance),Pending,30/03/2025 08:45,P005
TK8171,OR7578,Hamburg,Pending,21/03/2025 15:08,P019
TK1046,OR6074,New York,Pending,23/03/2025 07:57,P009
TK7411,OR6753,Scheveningen,In Transit,25/04/2025 07:52,P018
TK8420,OR5850,Colon (Panama Canal entrance),In Transit,27/04/2025 08:52,P010
TK4425,OR7540,Callao,Pending,11/04/2025 13:45,P033
TK6838,OR6220,Houston,Pending,16/03/2025 09:14,P049
TK2776,OR6507,Rio de Janeiro,Delivered,11/04/2025 20:28,P037
TK2474,OR6578,Southern Port of Sudan,Delivered,12/04/2025 13:11,P003
TK3927,OR6777,Mumbai Port,Pending,08/04/2025 09:19,P020
TK9151,OR7840,Port Klang,Delivered,21/04/2025 18:33,P021
TK2336,OR6996,Port Said (Suez Canal entrance),Pending,16/03/2025 16:23,P005
TK5908,OR6521,Southern Port of Sudan,Pending,12/04/2025 10:24,P003
